City_ID,City,Country,Current Description,Max Temp,Lat,Lng,Hotel Name
449,camacha,PT,scattered clouds,69.8,33.08,-16.33,Hotel Porto Santo & Spa
450,lamar,US,broken clouds,87.01,33.67,-95.58,Kings Inn Paris TX
453,hasaki,JP,light intensity shower rain,66.2,35.73,140.83,Inubosaki Kanko Hotel
454,west helena,US,scattered clouds,86.0,34.55,-90.64,Best Western Inn
456,altamont,US,clear sky,80.6,42.21,-121.74,Microtel Inn & Suites by Wyndham Klamath Falls
458,matay,EG,clear sky,83.43,28.42,30.78,Nag Aespen
460,hobyo,SO,overcast clouds,79.23,5.35,48.53,Osmani Hotel
461,wamba,NG,broken clouds,77.29,8.93,8.6,Roma Zee Guest House Annex
462,langsa,ID,overcast clouds,75.06,4.47,97.97,OYO 2964 Hotel Ridho
466,poum,NC,scattered clouds,70.12,-20.23,164.02,Gîte kajeon
467,coos bay,US,clear sky,79.0,43.37,-124.22,Best Western Holiday Hotel
469,finschhafen,PG,clear sky,78.42,-6.6,147.87,Cossam Guest House
470,tabou,CI,overcast clouds,76.93,4.42,-7.35,hotêl doufoulougou
471,ulaangom,MN,overcast clouds,65.64,49.98,92.07,Achit Nuur Hotel & Restaurant
472,kijini,TZ,few clouds,78.8,-5.85,39.32,Seles Bungalows
475,los llanos de aridane,ES,few clouds,73.4,28.66,-17.92,Valle Aridane
476,les cayes,HT,few clouds,85.84,18.2,-73.75,Villa Orphee
478,korla,CN,overcast clouds,78.01,41.76,86.15,Gulisitan Hotel
479,casper,US,clear sky,82.4,42.87,-106.31,Ramkota Hotel
480,khartoum,SD,thunderstorm with rain,89.6,15.55,32.53,Hotel China
481,richards bay,ZA,clear sky,67.73,-28.78,32.04,BON Hotel Waterfront Richards Bay
483,morden,CA,few clouds,77.0,49.19,-98.1,Morden Motor Inn
486,boyolangu,ID,scattered clouds,72.45,-8.12,111.89,Yos ega cv
487,sondrio,IT,scattered clouds,72.0,46.17,9.87,Grand Hotel della Posta
489,saint-paul,RE,scattered clouds,71.6,-21.01,55.27,Boucan Canot
490,madrid,ES,few clouds,90.0,40.42,-3.7,Iberostar Las Letras Gran Vía
491,plock,PL,clear sky,73.99,52.55,19.71,Herman
