City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
213,Oksfjord,70.24,22.35,51.01,81,56,3.36,NO,2020-06-24 23:15:48
214,Sterling,39.01,-77.43,84.0,42,40,10.29,US,2020-06-24 23:15:48
215,Illapel,-31.63,-71.17,49.93,69,11,3.69,CL,2020-06-24 23:15:49
216,Bayevo,53.28,80.77,56.8,93,9,4.34,RU,2020-06-24 23:15:49
217,Kathu,7.92,98.33,78.8,94,40,4.7,TH,2020-06-24 23:15:49
218,Ahipara,-35.17,173.17,60.98,83,48,5.41,NZ,2020-06-24 23:14:34
219,Beringovskiy,63.05,179.32,41.34,91,99,9.4,RU,2020-06-24 23:14:23
220,Ponta Delgada,37.73,-25.67,62.6,72,75,3.36,PT,2020-06-24 23:13:15
221,Lata,40.16,-8.33,64.99,83,35,3.71,PT,2020-06-24 23:15:50
222,Anaconda,46.13,-112.94,77.0,27,90,16.11,US,2020-06-24 23:15:50
223,Marrakesh,31.63,-8.01,73.4,64,0,8.05,MA,2020-06-24 23:14:06
224,Belmonte,-15.86,-38.88,71.6,83,9,2.24,BR,2020-06-24 23:15:50
225,Westport,41.14,-73.36,84.2,32,1,9.17,US,2020-06-24 23:15:51
226,Turayf,31.67,38.66,71.6,46,0,9.17,SA,2020-06-24 23:15:51
227,Katobu,-4.94,122.53,74.86,89,67,1.83,ID,2020-06-24 23:15:51
228,Aswan,24.09,32.91,84.74,17,31,7.16,EG,2020-06-24 23:15:51
229,Pitimbu,-7.47,-34.81,77.0,78,20,8.05,BR,2020-06-24 23:15:43
230,Sistranda,63.73,8.83,62.6,77,87,12.75,NO,2020-06-24 23:15:51
231,Texarkana,33.43,-94.05,87.8,55,20,10.29,US,2020-06-24 23:15:51
232,Necochea,-38.55,-58.74,46.99,92,100,3.0,AR,2020-06-24 23:15:51
233,Madang,-5.22,145.8,82.29,79,44,0.47,PG,2020-06-24 23:15:52
234,Half Moon Bay,37.46,-122.43,80.01,60,20,21.92,US,2020-06-24 23:15:52
235,Vetovo,43.7,26.27,65.05,78,0,5.12,BG,2020-06-24 23:15:52
236,Huarmey,-10.07,-78.15,63.82,80,67,9.28,PE,2020-06-24 23:15:52
237,Saint George,37.1,-113.58,105.01,7,1,16.11,US,2020-06-24 23:15:52
238,Sinnamary,5.38,-52.95,78.67,85,12,7.0,GF,2020-06-24 23:15:28
239,Vanimo,-2.67,141.3,81.12,76,62,6.93,PG,2020-06-24 23:15:52
240,Nanortalik,60.14,-45.24,43.97,76,100,4.14,GL,2020-06-24 23:15:53
